"time","value"
"Sun Nov 09 2025 04:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Sun Nov 09 2025 05:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Sun Nov 09 2025 06:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Sun Nov 09 2025 07:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Sun Nov 09 2025 08:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Sun Nov 09 2025 09:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Sun Nov 09 2025 10:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Sun Nov 09 2025 11:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Sun Nov 09 2025 12:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Sun Nov 09 2025 13:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Sun Nov 09 2025 14:00:00 GMT+0100 (Midden-Europese standaardtijd)","5243"
"Sun Nov 09 2025 15:00:00 GMT+0100 (Midden-Europese standaardtijd)","306"
"Sun Nov 09 2025 16:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Sun Nov 09 2025 17:00:00 GMT+0100 (Midden-Europese standaardtijd)","73466"
"Sun Nov 09 2025 18:00:00 GMT+0100 (Midden-Europese standaardtijd)","164104"
"Sun Nov 09 2025 19:00:00 GMT+0100 (Midden-Europese standaardtijd)","246133"
"Sun Nov 09 2025 20:00:00 GMT+0100 (Midden-Europese standaardtijd)","214047"
"Sun Nov 09 2025 21:00:00 GMT+0100 (Midden-Europese standaardtijd)","396348"
"Sun Nov 09 2025 22:00:00 GMT+0100 (Midden-Europese standaardtijd)","746049"
"Sun Nov 09 2025 23:00:00 GMT+0100 (Midden-Europese standaardtijd)","467389"
"Mon Nov 10 2025 00:00:00 GMT+0100 (Midden-Europese standaardtijd)","187486"
"Mon Nov 10 2025 01:00:00 GMT+0100 (Midden-Europese standaardtijd)","354973"
"Mon Nov 10 2025 02:00:00 GMT+0100 (Midden-Europese standaardtijd)","224659"
"Mon Nov 10 2025 03:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Mon Nov 10 2025 04:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
