Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-28T21:41:47.812Z","Included","claude-4.5-sonnet-thinking","No","1785","398","604494","499","607176","0.46"
"2025-10-28T21:40:34.343Z","Included","claude-4.5-sonnet-thinking","Yes","3735","10","600061","822","604628","0.49"
"2025-10-28T21:40:06.983Z","Included","claude-4.5-sonnet-thinking","Yes","642","1053","600620","3437","605752","0.53"
"2025-10-28T21:38:29.419Z","Included","claude-4.5-sonnet-thinking","Yes","2685","212","596734","560","600191","0.47"
"2025-10-28T21:37:19.881Z","Included","claude-4.5-sonnet-thinking","No","652","384","599169","509","600714","0.45"
"2025-10-28T21:37:19.200Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:37:05.540Z","Included","claude-4.5-sonnet-thinking","Yes","1745","12","596734","224","598715","0.45"
"2025-10-28T21:37:05.101Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:36:41.051Z","Included","claude-4.5-sonnet-thinking","Yes","3912","844","594007","283","599046","0.47"
"2025-10-28T21:35:15.212Z","Included","claude-4.5-sonnet-thinking","No","3729","389","593508","647","598273","0.48"
"2025-10-28T21:35:13.101Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:35:11.719Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:35:11.064Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:34:49.726Z","Included","claude-4.5-sonnet-thinking","Yes","2465","1056","591547","1593","596661","0.49"
"2025-10-28T21:33:17.489Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:33:14.897Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:33:01.258Z","Included","claude-4.5-sonnet-thinking","Yes","3545","56","586812","1038","591451","0.48"
"2025-10-28T21:31:50.951Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
